series,name,code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Military expenditure (% of GDP),Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.285464776,1.219710086,1.185034859,1.147395888,1.096993821,1.111056027,1.0943768,1.061102578,1.035932335,1.017359976,0.989576545,0.97816744,0.978434737,0.90647286,0.881843588,0.910237906,0.890371567,0.850142574,0.785813244,0.900457173,0.870705123,0.833379565,0.821232712,0.790897558,0.778464251,0.750825383,0.747967454,0.66401897,..,..
Military expenditure (% of GDP),Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.489574905,4.93372888,3.683168507,2.736901303,2.254230341,2.324049799,2.412355913,2.625109931,2.267862063,2.312062608,2.243321171,2.426362555,2.629450312,2.299069675,3.417753863,2.864194919,3.291211146,3.325421682,2.791004357,4.670135555,4.658592722,4.54092331,4.555020843,5.608679662,3.642770095,..
Military expenditure (% of GDP),"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (% of GDP),Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.603045758,5.644661664,5.658953722,5.703750648,5.877742947,5.370019946,5.111301944,5.183232026,5.273939994,5.0684872,5.333103953,5.503113296,3.96167098,4.148081656,4.611106587,4.658832831,4.044928886,3.214394465,3.102947728,2.956986615,2.800164265,3.610531063,3.277759332,3.591497227,3.844577027,4.141441634,4.418589461,4.592713862,..,..
Military expenditure (% of GDP),Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..,..,0.606385211,0.596668868,0.570615907,1.079177419,1.323515852,1.008482064,0.894435335,0.92058143,0.946444296,1.100235558,1.363786579,1.309648061,1.087172908,1.158126848,1.184643092,1.270436151,1.323070018,1.240395616,1.264000251,1.393661947,1.486643424,1.625597104,1.637604289,1.406007251,1.452923392,1.450155475,1.468352305,1.43858422,1.351376767,1.255852225,1.201067522,1.196547198,1.165342272,1.185741381,1.1944305,1.123900473,1.232580973,1.418790085,1.458662361,1.414612667,1.334151376,1.361360312,1.460266386,1.44178968,..
Military expenditure (% of GDP),Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (% of GDP),Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.622498648,2.790971461,3.621608255,1.699469369,1.260691246,1.768966069,1.49509849,1.366759067,1.34698592,1.438287564,1.400244086,1.29906358,1.358222749,1.498453135,1.709412492,1.649765914,1.453492852,1.372576981,1.341383433,1.22449511,1.243904724,1.285766194,1.282562997,1.281840102,1.272563808,..
Military expenditure (% of GDP),Belgium,BEL,3.286989462,3.15495965,3.183210942,3.117823512,3.114391344,2.882446915,3.020493762,3.040809493,3.0238196,2.84714976,2.784956092,2.764106358,2.744232396,2.701124299,2.631300532,2.919468091,2.950733566,2.997679482,3.110879916,3.10552038,3.104488149,3.215113693,3.123351992,3.048312431,2.873057277,2.799825757,2.821354108,2.771706459,2.510900834,2.350533484,2.249845355,2.185134888,1.750188512,1.65814202,1.601956318,1.536416468,1.507670564,1.445819709,1.406117798,1.382981337,1.341210276,1.276504166,1.215712208,1.214988156,1.149272139,1.091560058,1.051239186,1.094535301,1.213898317,1.160039922,1.084632861,1.043506795,1.03819328,1.010348682,0.976046758,0.926577448,0.86845855,..
Military expenditure (% of GDP),Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.077890098,1.437587169,1.534259259,1.543918919,1.560124313,..,..,..,1.199332232,1.154521244,1.064235253,1.021174396,1.09498699,1.359936075,1.298556746,1.24198257,1.435854188,..,..,0.855229013,0.855029176,0.839624896,0.863534843,0.896742483,0.961294716,1.008900565,1.066121075,1.367630684,1.291554947,1.097781286,1.03693566,0.967141819,1.101741993,1.055817266,1.094454671,1.185234909,..
Military expenditure (% of GDP),Benin,BEN,0.575168089,0.92214514,1.156571494,1.166894193,1.409707809,1.377994196,1.229471879,1.277032608,1.31582075,1.214214636,1.228640489,1.278931466,1.195184865,1.328055848,1.162477032,1.160882911,1.025256918,1.352891415,0.920806043,1.480559653,1.680694998,1.331098817,1.305808934,1.62194539,2.020465874,1.894423054,1.966717012,2.27871932,2.27937981,1.898822451,1.674382553,..,..,..,..,..,..,..,..,0.663365739,0.564235731,0.489234998,0.851197745,0.884527271,0.924055932,0.93065751,0.909814422,..,0.907423061,..,..,..,0.959491603,0.939232504,0.957933118,1.09632502,1.143245482,..
Military expenditure (% of GDP),Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (% of GDP),Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (% of GDP),Bolivia,BOL,..,0.799045135,0.769323887,0.880677003,..,..,..,..,1.274446947,1.270413621,1.65037384,1.448151685,1.646022855,1.672908205,1.893424042,2.424606952,2.444143613,2.269737439,2.598900978,2.708160838,3.504320903,4.051790127,2.21173087,1.659214198,2.34510444,2.440045218,2.345549537,2.377263709,2.02098132,2.156304667,2.815876755,2.688320923,2.50611815,1.916352239,2.250297814,2.096164014,1.986805055,2.273612157,2.691109365,2.133288202,2.062971519,2.264905361,2.029450836,2.145790846,1.924981795,1.772542641,1.567656204,1.686580784,1.962272052,1.994105732,1.666248802,1.684120001,1.845594672,1.840906753,1.896840612,1.743839017,1.675155507,..
Military expenditure (% of GDP),Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.624072153,2.416656871,1.996645883,1.543919077,1.386327224,1.236336584,1.220611983,1.376586183,1.280341422,1.136430264,1.145571911,1.087055806,1.025826876,1.000727249,0.972843261,..
Military expenditure (% of GDP),Botswana,BWA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.251150559,2.423049392,2.970667465,3.001637257,2.902058987,2.320463136,2.086168682,2.104217746,1.883589901,2.463793038,3.756629792,3.544915009,3.33348086,4.122030245,4.369130885,4.29248734,4.463109003,4.001495461,3.506409083,2.899490534,3.197192243,3.779391425,3.092100594,3.191233589,3.831250643,4.110224895,4.007360569,3.505881777,2.858011393,2.695116768,2.801452656,3.036968181,3.21559211,2.726856782,2.316701524,2.225722964,2.056395542,2.130859641,2.662869655,3.304742937,..
Military expenditure (% of GDP),Brazil,BRA,3.00801578,2.68055462,2.315014823,2.287700985,1.990657182,3.455838419,3.158328317,2.90305156,2.654676712,2.595529939,2.887064715,2.601275325,2.431605989,2.271723085,2.027271825,2.06067642,2.009239135,1.689396211,1.595399444,1.497309065,1.144593977,1.137463498,1.281330046,1.219720999,1.146748373,1.43415234,1.224119395,1.749656204,2.118960459,2.524698874,2.363883077,1.954019175,1.521626663,1.927770437,1.97308864,1.82250671,1.654844676,1.57768864,1.662291952,1.645473844,1.730724806,1.951881656,1.895770251,1.503477107,1.461269314,1.524013814,1.481084895,1.466292046,1.441924135,1.538625861,1.539406981,1.411851159,1.378656465,1.329446084,1.330244653,1.364428258,1.317941341,..
Military expenditure (% of GDP),British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (% of GDP),Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.574084402,2.88778814,4.670729808,3.792514955,6.6299771,6.234373063,6.566368908,6.630179828,6.016140866,5.697919807,6.407176037,6.035767511,6.418965756,7.101205132,7.256637168,5.61754521,4.069210092,3.886214044,3.870758675,3.711424264,2.532726738,2.608095406,2.558186746,2.638350895,2.514964776,3.258857366,2.850454789,2.242200575,2.158971558,2.277485755,3.086859986,3.279291821,3.53938471,..
