name,code,series_code,series,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,gdp_pc,GDP per capita (constant 2010 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"24271,9404205267",..,..,..,..,..,..,..
Australia,AUS,gdp_pc,GDP per capita (constant 2010 US$),"19306,5529749374","19394,6161728232","19178,0910100303","19982,6905301495","20961,1859037462","21783,2486768645","21794,9925819135","22876,9934362002","23621,3794608676","24763,0828899532","26020,2079448989","26162,3944449506","26690,66003826","26968,9599418453","27372,1239058573","27397,5568726721","27827,0012360494","28507,9019111666","28431,4148379114","29266,6006557147","29794,5384628033","30309,7609697282","30797,9963904252","29736,6986278124","30763,4458550313","31938,6162017929","32707,6721962772","33044,5754166397","34386,2533573522","35121,2126875046","35827,0967196418","35240,582540066","34967,5177240199","36033,6358843432","37098,7987775714","38078,9039470847","39065,9243827866","40156,3352495743","41504,4958976453","43087,4467189905","44223,5912367361","44473,4086078834","45626,6220312732","46449,8451866154","47817,8992322005","48702,734693348","49418,6863195942","50952,467037889","51788,440148049","51651,2232575577","51874,0804819957","52372,1545375312","53315,0299153974","53732,0039694765","54293,7942049524","54800,3663958845","55478,5772943505",..
Austria,AUT,gdp_pc,GDP per capita (constant 2010 US$),"13031,0315898249","13677,4642130876","13953,9500033393","14438,3566555942","15220,8197176825","15648,5266978249","16416,0054041203","16783,8896871799","17443,704979075","18474,5400142328","19598,9316270442","20509,6827627519","21656,6624478635","22590,2607930587","23440,8683908755","23417,6548141923","24533,1243177899","25769,5073945009","25736,0507663608","27160,913794742","27631,1717765841","27521,0283124008","28054,4191937638","28935,2236090317","28951,8826477363","29661,3675451793","30324,7149327169","30716,8272249432","31684,3295042601","32767,9658148856","33932,3911441928","34751,5143445284","35090,7212116008","34985,8862482266","35688,6693159936","36584,7806788387","37411,6514385095","38193,2818499291","39509,5730398158","40848,4085441634","42122,9360005981","42528,7014138777","43020,7398882342","43135,4042363727","44028,529561821","44665,7089068331","45934,5351997659","47444,0215135592","48027,5240737498","46082,0507456377","46858,0432733717","48065,3167058917","48172,2377048248","47903,8962534401","47949,1635547631","47958,4252217142","48106,4944709433",..
Azerbaijan,AZE,gdp_pc,GDP per capita (constant 2010 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"3118,5465867617","3049,0159948345","2324,4529766324","1760,5546508584","1394,7442089462","1216,0779171029","1219,5093489518","1277,8541240601","1392,361193551","1482,329772807","1633,3944354131","1781,246395071","1955,4131504562","2158,0071706915","2357,3960263737","2949,4428184384","3923,658153549","4851,1769087186","5262,1013555001","5639,001689405","5842,8057835858","5770,9697027061","5820,0798474712","6078,3206485142","6122,9804892518","6117,030862367","5861,5119620661",..
"Bahamas, The",BHS,gdp_pc,GDP per capita (constant 2010 US$),"13895,4735592249","14632,2637547002","15364,1072491338","16147,539016177","16993,8132245417","17913,8935129113","18696,4130346827","19652,664116133","20499,3898405667","21576,0224051116","19743,2903950452","19544,0618902346","18438,8696179374","19435,4562131575","15863,5638605894","13244,5717259706","13641,004018421","14571,8790685356","16274,6465171963","20078,4580129694","20912,7555627732","18565,9554463542","19370,893838904","19629,9391033896","21941,3062468978","22543,0042810344","22521,6355974645","22787,6567932101","22919,7983785394","24046,9505640449","23248,8936715994","21868,8772986471","20635,6985113897","20315,1782744707","20595,6313807486","21170,9531347603","21782,0991621408","21984,9465790558","22776,6096750456","24111,8577544435","24748,3079735458","24958,6549679116","25134,3811263706","24298,6237850202","23997,8477712196","24305,990666923","24429,4457482206","24312,400634406","23314,994167221","21951,1466446952","21921,5590634977","21710,5899917159","22050,2021461459","21622,8655854331","21078,6804680605","20184,7356938325","19991,092229426",..
Bahrain,BHR,gdp_pc,GDP per capita (constant 2010 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"21184,9828376582","19295,58521837","17290,8180745626","17906,0163509295","18304,5726983488","16926,3747444092","16571,426671545","17663,4657118083","18240,5661888089","17702,3755890439","17934,7430502843","19407,4436493518","20178,4651617478","22217,9133183868","21623,0156816472","21910,2398805927","22220,6829070812","22281,7951076819","22634,8884697697","22760,9869862741","22955,0934939164","22416,0818465599","22038,331198939","22058,7633255054","22144,4733857539","22066,0711292424","21796,0151385957","21838,0745654035","21563,650666009","20797,0052179038","20722,1038895508","20514,7563869279","20921,199710437","21799,6521659427","22390,6828514575","22436,2075318381",..,..
Bangladesh,BGD,gdp_pc,GDP per capita (constant 2010 US$),"370,5941715985","382,0047722484","391,4891838177","378,5599523784","407,6331236377","401,5334159617","398,7081568474","378,4483267152","401,1804456991","394,3095963107","406,0307091597","375,8265809872","317,7006036687","323,0395868759","347,9806292171","327,1009504924","337,6026860169","337,713294109","351,707710949","358,3477903986","351,3761041788","366,6663073854","364,5382182428","368,6940260003","376,2076611428","378,4874579825","383,8124796589","387,7558742428","386,7755991241","387,6728688303","399,4839408511","403,7537989794","416,1805240508","426,3094413332","433,4123440678","445,9189172874","456,2377101005","466,7725442223","480,8688330993","493,2552198704","509,2934347224","525,0721107467","535,2467233656","550,8628057363","570,3367359548","598,6174259215","630,0481800234","666,4014472072","698,5648920375","725,7662599568","757,6717571769","797,4116803695","839,5136871852","879,5819661351","922,1611279987","971,6419880304","1029,5782123924",..
Barbados,BRB,gdp_pc,GDP per capita (constant 2010 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"13830,0119081306","13244,8079643431","12446,54903487","12502,9648451095","12708,2942696018","12919,2229038363","13381,9875046244","13963,6496912725","14431,6216806745","14426,3179057437","15017,0768031104","14616,1817065074","14688,7813590316","14964,7160473718","15128,9458608363","15676,1091888706","16502,6900650941","16726,2798684695","16721,73309543","15979,6809292206","15959,0297922874","15972,7676372964","15961,701817585","15910,9348648734","15864,6197950218","15961,2001541015","16242,7699742254",..
Belarus,BLR,gdp_pc,GDP per capita (constant 2010 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"3102,462776001","3063,7297730097","2763,647398262","2547,8739879041","2252,4125350517","2024,6948209314","2088,3515449237","2336,3115538052","2544,634716959","2642,2424203982","2808,6939956479","2956,5406182076","3125,5389116145","3369,1721077532","3780,6362318424","4164,3619490171","4608,9322408995","5028,3198829677","5560,3819040841","5583,9385242609","6029,3967998293","6375,3450385955","6491,6733824729","6557,1065720622","6664,0972491867","6398,6897351514","6221,3725932252",..
Belgium,BEL,gdp_pc,GDP per capita (constant 2010 US$),"13193,3149413605","13804,1993476581","14465,9774292721","14983,0426057267","15874,4046901559","16291,0196565313","16692,0169886591","17241,4473706698","17894,0438026985","19026,4296503728","20070,5479732956","20832,5240820801","21850,0028718164","23171,3793566533","24153,0991616343","23609,9371038687","24900,0171083108","25025,0098811635","25712,1941187834","26290,4941793372","27428,6118861353","27352,7295955632","27522,9536289161","27610,9754180225","28292,3925990391","28751,1590966802","29264,7899111196","29914,3154726966","31227,7917487716","32193,9793055008","33105,1552433006","33586,9583104952","33962,9863856718","33505,1655027068","34479,937551965","35228,3419165189","35719,8102344149","36955,6361964793","37605,2280552923","38856,0634985051","40170,4189271218","40357,370757271","40892,2177249607","41036,7982641216","42344,6948333994","42994,3636536563","43782,1395544946","44960,7978629635","44956,3673344759","43591,2718827821","44380,1766327308","44556,0368071799","44337,5767700468","44209,7433543915","44702,3168947694","45068,2542754006","45469,7108326081",..
